,x,y
0,50,22.648917974269352
1,100,55.218264296869194
2,150,63.493716070499
3,200,65.80055030861902
4,250,66.65278500780843
5,300,68.10440990555514
6,350,68.18026325574478
7,400,68.91797426935375
8,450,68.96556852829627
9,500,69.64527403881907
10,550,69.72856399196847
11,600,70.66111400312337
12,650,71.6858778909794
13,700,85.03309288317097
14,750,90.28035993158325
15,800,91.78850301182419
16,850,92.59165613147914
17,900,93.365062839295
18,950,93.52718078381795
19,1000,94.17862720309363
20,1050,94.56384323640961
21,1100,95.25693463225998
22,1150,95.3015542500186
23,1200,95.39823008849557
24,1250,96.07793559901837
25,1300,96.24005354354132
26,1350,96.37391239681713
27,1400,96.51966981482859
28,1450,96.68773704171934
