,x,y
0,50,22.785751468729085
1,100,25.834758682233954
2,150,31.517810664088646
3,200,34.26637911801889
4,250,39.24592845987952
5,300,41.66133710121216
6,350,46.04893284747527
7,400,50.10336878114078
8,450,52.06365732133561
9,500,55.4681341563174
10,550,57.12947125752956
11,600,58.02335093329367
12,650,58.83394065590838
13,700,64.70439503234923
14,750,67.30274410649216
15,800,71.80635085892763
16,850,76.69368632408717
17,900,79.44076745742544
18,950,84.89031010634342
19,1000,87.71175726927939
20,1050,93.0289283855135
21,1100,94.0864133263925
22,1150,94.45378151260503
23,1200,94.73191046330037
24,1250,94.96095783446121
25,1300,95.35955975310479
26,1350,95.71949133635755
27,1400,96.15527626979996
28,1450,96.36350115267346
