,x,y
0,50,22.867554101286533
1,100,70.84256711534171
2,150,70.85297835948539
3,200,70.85297835948539
4,250,70.85297835948539
5,300,70.85297835948539
6,350,70.85297835948539
7,400,70.85297835948539
8,450,70.85297835948539
9,500,70.85297835948539
10,550,70.8589276418532
11,600,84.29686919015393
12,650,95.27329515877148
13,700,95.27775712054734
14,750,95.288168364691
15,800,95.30304157061055
16,850,95.31940209712204
17,900,95.34319922659328
18,950,95.37294563843236
19,1000,95.40864133263925
20,1050,95.46218487394958
21,1100,96.26831263478843
22,1150,96.33226742024243
23,1200,96.4036588086562
24,1250,96.48248680002975
25,1300,96.57916263850673
26,1350,96.6862497211274
27,1400,96.8171339332193
28,1450,96.97181527478249
